date,average_sentiment
2022-01-01,0.6105954773869346
2022-01-02,0.5656098360655738
2022-01-03,0.5789179916317991
2022-01-04,0.6086395833333333
2022-01-05,0.5155493827160493
2022-01-06,0.4254361313868613
2022-01-07,0.4870052631578948
2022-01-08,0.40624506437768243
2022-01-09,0.46427468879668055
2022-01-10,0.5172163865546219
2022-01-11,0.5565450980392157
2022-01-12,0.5160645
2022-01-13,0.5625846511627907
2022-01-14,0.6476173410404624
2022-01-15,0.4593404761904762
2022-01-16,0.5090878787878788
2022-01-17,0.5355392045454545
2022-01-18,0.41043655913978494
2022-01-19,0.501574
2022-01-20,0.5373977011494253
2022-01-21,0.4332030864197531
2022-01-22,0.4110965601965602
2022-01-23,0.29871306306306306
2022-01-24,0.3677470802919708
2022-01-25,0.3335072538860104
2022-01-26,0.4503794285714286
2022-01-27,0.38405022624434393
2022-01-28,0.48750135135135136
2022-01-29,0.6166390243902439
2022-01-30,0.5509137681159421
2022-01-31,0.4950924528301887
2022-02-01,0.570534756097561
2022-02-02,0.5690331460674157
2022-02-03,0.5066086705202312
2022-02-04,0.456148125
2022-02-05,0.5568604166666666
2022-02-06,0.5942
2022-02-07,0.4711302158273381
2022-02-08,0.6282380645161291
2022-02-09,0.5197355263157896
2022-02-10,0.47912119205298015
2022-02-11,0.46499083333333335
2022-02-12,0.45822416666666665
2022-02-13,0.4824688
2022-02-14,0.5384987878787879
2022-02-15,0.48502173913043484
2022-02-16,0.5130539568345324
2022-02-17,0.46240609756097556
2022-02-18,0.579658940397351
2022-02-19,0.3965953488372093
2022-02-20,0.3212101694915254
2022-02-21,0.5080439999999999
2022-02-22,0.4068677685950413
2022-02-23,0.5379138613861386
2022-02-24,0.21470451977401128
2022-02-25,0.39511946902654865
2022-02-26,0.47996285714285714
2022-02-27,0.33932190476190477
2022-02-28,0.3737373913043478
2022-03-01,0.39125
2022-03-02,0.45467372881355933
2022-03-03,0.3706204081632653
2022-03-04,0.33392099999999997
2022-03-05,0.5059783783783783
2022-03-06,0.44717195121951225
2022-03-07,0.39501052631578953
2022-03-08,0.47974854368932035
2022-03-09,0.5241018691588785
2022-03-10,0.4953
2022-03-11,0.40842705882352937
2022-03-12,0.4213276315789473
2022-03-13,0.5527291666666667
2022-03-14,0.45790697674418607
2022-03-15,0.5220777777777778
2022-03-16,0.3687362637362637
2022-03-17,0.4761333333333333
2022-03-18,0.3206588235294118
2022-03-19,0.5911868131868132
2022-03-20,0.38755890410958904
2022-03-21,0.5467709302325582
2022-03-22,0.5784232558139535
2022-03-23,0.5246630434782609
2022-03-24,0.5222137931034483
2022-03-25,0.4895022471910112
2022-03-26,0.5122578947368421
2022-03-27,0.510638202247191
2022-03-28,0.49122134831460673
2022-03-29,0.44318152173913045
2022-03-30,0.40629583333333336
2022-03-31,0.45486091954022984
2022-04-01,0.5382567010309278
2022-04-02,0.44594032258064514
2022-04-03,0.40210151515151515
2022-04-04,0.6117313953488371
2022-04-05,0.5013402173913043
2022-04-06,0.5013425531914893
2022-04-07,0.36429344262295077
2022-04-08,0.507395
2022-04-09,0.6138120689655173
2022-04-10,0.48619420289855075
2022-04-11,0.44003068181818183
2022-04-12,0.34836511627906974
2022-04-13,0.5320218390804597
2022-04-14,0.6063123076923077
2022-04-15,0.4500688524590164
2022-04-16,0.5536782608695653
2022-04-17,0.49163797468354425
2022-04-18,0.3547093023255814
2022-04-19,0.5258083333333333
2022-04-20,0.4488153846153846
2022-04-21,0.5376461538461539
2022-04-22,0.520839705882353
2022-04-23,0.52239
2022-04-24,0.6522052631578947
2022-04-25,0.3057904761904762
2022-04-26,0.4605166666666667
2022-04-27,0.5133457142857143
2022-04-28,0.5819
2022-04-29,0.5595092592592592
2022-04-30,0.4119578125
2022-05-01,0.43988875
2022-05-02,0.44771875
2022-05-03,0.4716411764705882
2022-05-04,0.5654250000000001
2022-05-05,0.35631388888888893
2022-05-06,0.36152699999999993
2022-05-07,0.3525925373134328
2022-05-08,0.45021971830985913
2022-05-09,0.4444170212765957
2022-05-10,0.2586558823529412
2022-05-11,0.3106308411214953
2022-05-12,0.28086666666666665
2022-05-13,0.37483617021276594
2022-05-14,0.21722173913043477
2022-05-15,0.3230168316831683
2022-05-16,0.4294422222222222
2022-05-17,0.4940558823529411
2022-05-18,0.4824311688311688
2022-05-19,0.4933114285714285
2022-05-20,0.5833421052631579
2022-05-21,0.45183035714285713
2022-05-22,0.49382063492063494
2022-05-23,0.416510447761194
2022-05-24,0.467415
2022-05-25,0.4902909090909091
2022-05-26,0.5094958333333334
2022-05-27,0.4785127272727273
2022-05-28,0.33566296296296294
2022-05-29,0.4331396226415094
2022-05-30,0.4857490196078431
2022-05-31,0.4446073170731707
2022-06-01,0.6034461538461539
2022-06-02,0.4507222222222222
