date,parkinson_vol
2024-12-31,0.026687664516032338
2024-12-30,0.023133784088560625
2024-12-29,0.014646723949260275
2024-12-28,0.009579338387632122
2024-12-27,0.02510992481244445
2024-12-26,0.029240110407103427
2024-12-25,0.011490811673077604
2024-12-24,0.037107289640296956
2024-12-23,0.025531967319875157
2024-12-22,0.019803372135856142
2024-12-21,0.018886274030906595
2024-12-20,0.03740617495607887
2024-12-19,0.04338267931444218
2024-12-18,0.03740500796929304
2024-12-17,0.01674293226742869
2024-12-16,0.02536629524210319
2024-12-15,0.022249131040592517
2024-12-14,0.0117296998530273
2024-12-13,0.015860030351715494
2024-12-12,0.018952504776443006
2024-12-11,0.037481852624696436
2024-12-10,0.024631264008593293
2024-12-09,0.042484315246387135
2024-12-08,0.01577298018014508
2024-12-07,0.0092224501327999
2024-12-06,0.03343118959720048
2024-12-05,0.07306313971808832
2024-12-04,0.02817520931509158
2024-12-03,0.016871625222235547
2024-12-02,0.022884333527785378
2024-12-01,0.013136590784882827
2024-11-30,0.008405622380843372
2024-11-29,0.020331689966482085
2024-11-28,0.012385657992656248
2024-11-27,0.03546179777813535
2024-11-26,0.02729684702306131
2024-11-25,0.03946342482218951
2024-11-24,0.017663346793561976
2024-11-23,0.010905614715941613
2024-11-22,0.014843089274635407
2024-11-21,0.030363766711713706
2024-11-20,0.021140317022691566
2024-11-19,0.023291313651804653
2024-11-18,0.021143044478573122
2024-11-17,0.017943200586264883
2024-11-16,0.011028360461849719
2024-11-15,0.03184063577170743
2024-11-14,0.034218603494809624
2024-11-13,0.04800206701368057
2024-11-12,0.03294440700737477
2024-11-11,0.06596836982862254
2024-11-10,0.037320966284785234
2024-11-09,0.009116165077010335
2024-11-08,0.012600785012958736
2024-11-07,0.019536351516434774
2024-11-06,0.058859176694687265
2024-11-05,0.026675607993891105
2024-11-04,0.023185914430607735
2024-11-03,0.016494746528816846
2024-11-02,0.007208750663547436
2024-11-01,0.023790552027594693
2024-10-31,0.025941067302183908
2024-10-30,0.012431080236868782
2024-10-29,0.03225365810708126
2024-10-28,0.023346904793389744
2024-10-27,0.012219790266249747
2024-10-26,0.008601841236313728
2024-10-25,0.028640097190320395
2024-10-24,0.02082576917229508
2024-10-23,0.02006462624257374
2024-10-22,0.010906597391665569
2024-10-21,0.023206020332869923
2024-10-20,0.0109511167287182
2024-10-19,0.005653332144767596
2024-10-18,0.01580968443821895
2024-10-17,0.011290492191130421
2024-10-16,0.014369349997102458
2024-10-15,0.02781719146243691
2024-10-14,0.03765403354942927
2024-10-13,0.011857605248726493
2024-10-12,0.009593683664649305
2024-10-11,0.03264924032811825
2024-10-10,0.023414281174604774
2024-10-09,0.02146014351237177
2024-10-08,0.012785732610769816
2024-10-07,0.021740435440791718
2024-10-06,0.010842004730324635
2024-10-05,0.006597614985428857
2024-10-04,0.019603078524520562
2024-10-03,0.015741316060304135
2024-10-02,0.02317761756601478
2024-10-01,0.037908284169024364
2024-09-30,0.025814091439308507
2024-09-29,0.005656189142329725
2024-09-28,0.007272627245262278
2024-09-27,0.014887051959560953
2024-09-26,0.029192529835309275
2024-09-25,0.017481004896515644
2024-09-24,0.018454767100184323
2024-09-23,0.019858165316376908
2024-09-22,0.014751336852552489
2024-09-21,0.007228651811528767
2024-09-20,0.016666229147902775
2024-09-19,0.021659806835486906
2024-09-18,0.024305655742143387
2024-09-17,0.03725431570159543
2024-09-16,0.017540219009199665
2024-09-15,0.017003577829186878
2024-09-14,0.011382822923451254
2024-09-13,0.030445375287670814
2024-09-12,0.012484526487224541
2024-09-11,0.025642588919667284
2024-09-10,0.01690365424470449
2024-09-09,0.03672228323968412
2024-09-08,0.01815912007937443
2024-09-07,0.012147648877058905
2024-09-06,0.0480092469186798
2024-09-05,0.027270490479436024
2024-09-04,0.02986367840128023
2024-09-03,0.024487736284176876
2024-09-02,0.023368468166984027
2024-09-01,0.019051892981326424
2024-08-31,0.006745463161281803
2024-08-30,0.021728531686456484
2024-08-29,0.024010102106350014
2024-08-28,0.02385505179649919
2024-08-27,0.05042946529811452
2024-08-26,0.015471470764694297
2024-08-25,0.010842391530933172
2024-08-24,0.008379283381539182
2024-08-23,0.04386874677639657
2024-08-22,0.015783434971112842
2024-08-21,0.029979157419277515
2024-08-20,0.027883833363517862
2024-08-19,0.017872880121464346
2024-08-18,0.018389548115206256
2024-08-17,0.008917530444387282
2024-08-16,0.028116907620188123
2024-08-15,0.038086768031293905
2024-08-14,0.032143549144224584
2024-08-13,0.030676681463477566
2024-08-12,0.030361290593558774
2024-08-11,0.03430334157880228
2024-08-10,0.011611294159349122
2024-08-09,0.02142340539261457
2024-08-08,0.08099171927177794
2024-08-07,0.033219140177728916
2024-08-06,0.03339898223617183
2024-08-05,0.1025613099848092
2024-08-04,0.039134488134545356
2024-08-03,0.022766265715628006
2024-08-02,0.041141038282076034
2024-08-01,0.03142809309613854
2024-07-31,0.020835877171629016
2024-07-30,0.015111004747325449
2024-07-29,0.03040359606912305
2024-07-28,0.010788538809576758
2024-07-27,0.0237715409210893
2024-07-26,0.022095301838483572
2024-07-25,0.024463591487236203
2024-07-24,0.017864446424936866
2024-07-23,0.020683194004083385
2024-07-22,0.01661657838433758
2024-07-21,0.02264965663373268
2024-07-20,0.011760562953520206
2024-07-19,0.037792517870391555
2024-07-18,0.01739325310200087
2024-07-17,0.02006307514883894
2024-07-16,0.026935055903515793
2024-07-15,0.039854876406294766
2024-07-14,0.020967672128787126
2024-07-13,0.020336401548842864
2024-07-12,0.020267551825816306
2024-07-11,0.022484314265187988
