date,submission_sentiment
2023-12-31,0.4034133333333333
2024-01-01,0.31111770833333335
2024-01-02,0.3789370689655172
2024-01-03,0.28004640000000003
2024-01-04,0.36473684210526314
2024-01-05,0.3492353982300885
2024-01-06,0.33588898305084747
2024-01-07,0.37703965517241383
2024-01-08,0.29588922155688624
2024-01-09,0.32026135265700484
2024-01-10,0.3579892430278884
2024-01-11,0.2931226804123711
2024-01-12,0.254619209039548
2024-01-13,0.3588504273504274
2024-01-14,0.30599375
2024-01-15,0.3620693069306931
2024-01-16,0.39230400000000004
2024-01-17,0.30080243902439024
2024-01-18,0.22933956043956044
2024-01-19,0.2810761363636364
2024-01-20,0.32614492753623187
2024-01-21,0.24604246575342467
2024-01-22,0.28190333333333334
2024-01-23,0.2472736842105263
2024-01-24,0.3884730337078652
2024-01-25,0.3660838709677419
2024-01-26,0.3135759493670886
2024-01-27,0.3258947368421053
2024-01-28,0.36299818181818183
2024-01-29,0.29028518518518515
2024-01-30,0.3854367816091954
2024-01-31,0.27955238095238094
2024-02-01,0.36587391304347827
2024-02-02,0.2878027027027027
2024-02-03,0.4110208955223881
2024-02-04,0.43645
2024-02-05,0.34703055555555556
2024-02-06,0.4161128205128205
2024-02-07,0.3797492537313433
2024-02-08,0.31144883720930233
2024-02-09,0.34775806451612906
2024-02-10,0.27522441860465113
2024-02-11,0.2599451219512195
2024-02-12,0.3146236641221374
2024-02-13,0.3080214876033058
2024-02-14,0.34292616279069765
2024-02-15,0.3735857142857143
2024-02-16,0.2833785123966942
2024-02-17,0.3316755102040816
2024-02-18,0.4132697916666667
2024-02-19,0.3224707692307692
2024-02-20,0.409929906542056
2024-02-21,0.3548892857142857
2024-02-22,0.33216022727272726
2024-02-23,0.4385328947368421
2024-02-24,0.16864819277108434
2024-02-25,0.3829585365853658
2024-02-26,0.30685209580838324
2024-02-27,0.3086398907103825
2024-02-28,0.2689099290780142
2024-02-29,0.3154662447257384
2024-03-01,0.31565183486238535
2024-03-02,0.34195806451612903
2024-03-03,0.29231104294478527
2024-03-04,0.27953361581920905
2024-03-05,0.2761464743589744
2024-03-06,0.29954414414414415
2024-03-07,0.3664766497461929
2024-03-08,0.24572153846153846
2024-03-09,0.39715510204081633
2024-03-10,0.3418222222222222
2024-03-11,0.2905844827586207
2024-03-12,0.3121277486910995
2024-03-13,0.3313727626459144
2024-03-14,0.2743658878504673
2024-03-15,0.23550824175824175
2024-03-16,0.2522826923076923
2024-03-17,0.32663246753246755
2024-03-18,0.3955
2024-03-19,0.3143885572139304
2024-03-20,0.37162237762237765
2024-03-21,0.34906725663716814
2024-03-22,0.3090483333333333
2024-03-23,0.29301075268817206
2024-03-24,0.3286709401709402
2024-03-25,0.31394638554216864
2024-03-26,0.3577921052631579
2024-03-27,0.37571729323308267
2024-03-28,0.3449237288135593
2024-03-29,0.2994403669724771
2024-03-30,0.3498364583333333
2024-03-31,0.3484658333333333
2024-04-01,0.33210272727272727
2024-04-02,0.2935109375
2024-04-03,0.34299890109890113
2024-04-04,0.29469847328244275
2024-04-05,0.2697427480916031
2024-04-06,0.3150586206896552
2024-04-07,0.26041140350877195
2024-04-08,0.3414834586466165
2024-04-09,0.31814901960784314
2024-04-10,0.2964407407407407
2024-04-11,0.3301532608695652
2024-04-12,0.3546782945736434
2024-04-13,0.2861313432835821
2024-04-14,0.30209826086956526
2024-04-15,0.30963965517241376
2024-04-16,0.2932009708737864
2024-04-17,0.3459560810810811
2024-04-18,0.2992457364341085
2024-04-19,0.28643798076923077
2024-04-20,0.3502893442622951
2024-04-21,0.25699310344827586
2024-04-22,0.35312037037037036
2024-04-23,0.35794886363636363
2024-04-24,0.3257632183908046
2024-04-25,0.39023717948717945
