date,sentiment
2023-12-31,0.18286969696969696
2024-01-01,0.10943287671232876
2024-01-02,0.10508924581005587
2024-01-03,0.056245722713864306
2024-01-04,0.10523257575757575
2024-01-05,0.12733076923076922
2024-01-06,0.11244741035856573
2024-01-07,0.12132645985401459
2024-01-08,0.0980190277777778
2024-01-09,0.08800484460694699
2024-01-10,0.11960735512630014
2024-01-11,0.10423396072013094
2024-01-12,0.08901053984575835
2024-01-13,0.1066277566539924
2024-01-14,0.11410873786407769
2024-01-15,0.12202791666666668
2024-01-16,0.07403136882129278
2024-01-17,0.10419849137931034
2024-01-18,0.07750753138075314
2024-01-19,0.07810347826086957
2024-01-20,0.06155566037735849
2024-01-21,0.08832874251497005
2024-01-22,0.08813938679245284
2024-01-23,0.09743921161825728
2024-01-24,0.08914933920704846
2024-01-25,0.10386082474226804
2024-01-26,0.06908538461538462
2024-01-27,0.13023184210526317
2024-01-28,0.08961279069767442
2024-01-29,0.06062225
2024-01-30,0.12062311557788946
2024-01-31,0.10157126436781609
2024-02-01,0.10529027777777777
2024-02-02,0.08665287958115184
2024-02-03,0.09845735294117647
2024-02-04,0.1248688622754491
2024-02-05,0.08995297297297297
2024-02-06,0.13554282051282052
2024-02-07,0.09305972222222222
2024-02-08,0.08229978354978355
2024-02-09,0.12081673819742489
2024-02-10,0.11832760416666667
2024-02-11,0.06854223744292239
2024-02-12,0.10901450276243094
2024-02-13,0.0793462962962963
2024-02-14,0.10232103960396038
2024-02-15,0.11663162939297125
2024-02-16,0.09565975609756099
2024-02-17,0.09578636363636364
2024-02-18,0.13743243902439023
2024-02-19,0.09751169491525424
2024-02-20,0.10043727272727272
2024-02-21,0.10700269784172661
2024-02-22,0.09698837209302326
2024-02-23,0.10780302325581395
2024-02-24,0.08499528301886793
2024-02-25,0.10686735751295337
2024-02-26,0.1053815085158151
2024-02-27,0.09842898876404495
2024-02-28,0.0801385523613963
2024-02-29,0.10339779999999998
2024-03-01,0.09921383647798743
2024-03-02,0.09827661971830985
2024-03-03,0.1017862433862434
2024-03-04,0.07599005988023952
2024-03-05,0.08722493261455526
2024-03-06,0.0931996875
2024-03-07,0.11875083333333333
2024-03-08,0.06592857142857142
2024-03-09,0.1281105867346939
2024-03-10,0.10231622276029056
2024-03-11,0.09421874154262518
2024-03-12,0.08476897654584221
2024-03-13,0.09762312499999999
2024-03-14,0.08750169322709163
2024-03-15,0.07283872180451127
2024-03-16,0.08672922848664688
2024-03-17,0.1255207575757576
2024-03-18,0.1108273178807947
2024-03-19,0.08993357142857143
2024-03-20,0.1006610447761194
2024-03-21,0.09293651685393257
2024-03-22,0.08408501805054153
2024-03-23,0.1005831223628692
2024-03-24,0.08448800000000001
2024-03-25,0.09532783933518006
2024-03-26,0.11332763636363637
2024-03-27,0.12549738562091503
2024-03-28,0.07690036496350365
2024-03-29,0.0814388
2024-03-30,0.11968991031390136
2024-03-31,0.10056921641791045
2024-04-01,0.0995686475409836
2024-04-02,0.0924680811808118
2024-04-03,0.078755625
2024-04-04,0.10012339285714286
2024-04-05,0.08667599277978338
